degree,gamma,C,coef0,Training Data, Validation Data
1,0.01,10,0.1,99.59183673469387,65.95330739299611
1,0.1,10,0.1,99.84693877551021,65.95330739299611
1,1.0,10,0.1,99.94897959183675,65.95330739299611
1,10.0,10,0.1,99.94897959183675,65.95330739299611
1,100.0,10,0.1,99.94897959183675,65.95330739299611
2,0.001,10,0.1,97.8061224489796,67.12062256809338
2,0.01,10,0.1,99.94897959183675,68.09338521400778
2,0.1,10,0.1,99.94897959183675,68.09338521400778
2,1.0,10,0.1,99.94897959183675,68.09338521400778
2,10.0,10,0.1,99.94897959183675,68.09338521400778
2,100.0,10,0.1,99.94897959183675,68.09338521400778
3,0.001,10,0.1,99.03061224489797,68.48249027237354
