coef0,gamma,C,degree,Training Data, Validation Data,,,
10,1,100,2,99.94897959,68.09338521,,,
10,10,100,2,99.94897959,68.09338521,,,
10,100,100,2,99.94897959,68.09338521,,,
10,0.001,100,3,99.94897959,65.95330739,,,
10,0.01,100,3,99.94897959,67.70428016,,,
10,0.1,100,3,99.94897959,68.48249027,,,
10,1,100,3,99.94897959,68.87159533,,,
10,10,100,3,99.94897959,68.6770428,,,
10,0.001,100,4,99.94897959,65.95330739,,,
10,0.01,100,4,99.94897959,68.28793774,,,
10,0.1,100,4,99.94897959,68.6770428,,,
10,1,100,4,99.94897959,68.87159533,,,
10,10,100,4,98.62244898,68.87159533,,,
100,0.001,100,1,99.59183673,65.95330739,,,
100,0.01,100,1,99.84693878,65.95330739,,,
100,0.1,100,1,99.94897959,65.95330739,,,
100,1,100,1,99.94897959,65.95330739,,,
100,10,100,1,99.94897959,65.95330739,,,
100,100,100,1,99.94897959,65.95330739,,,
100,0.001,100,2,99.94897959,65.95330739,,,
100,0.01,100,2,99.94897959,65.75875486,,,
100,0.1,100,2,99.94897959,66.53696498,,,
100,1,100,2,99.94897959,67.89883268,,,
100,10,100,2,99.94897959,68.09338521,,,
100,100,100,2,99.94897959,68.09338521,,,
100,0.001,100,3,99.94897959,65.95330739,,,
100,0.01,100,3,99.94897959,65.95330739,,,
100,0.1,100,3,99.94897959,67.70428016,,,
